TotalCharges_bin,count,churn_rate
"(18.799, 267.37]",1409,0.45990063875088716
"(267.37, 947.38]",1408,0.2890625
"(2043.71, 4471.44]",1408,0.23011363636363635
"(947.38, 2043.71]",1409,0.20652945351312987
"(4471.44, 8684.8]",1409,0.14123491838183108
